sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
KTCC,0.99,5.625,5.55,59.718,10.76
PEBO,0.99,31.6,31.18,645.375,20.699
UNFI,0.99,8.5,8.39,442.0496,52.704
AQMS,0.99,1.67,1.65,93.8685,56.963
ZGNX,0.99,49.93,49.27,2096.00136,42.542
CHH,0.99,89.73,88.54,4931.60292,55.697
NIOBF,0.99,0.41,0.40,94.06681,232.496
PFSI,0.99,26.74,26.39,2074.29945,78.607
WES,0.99,24.34,24.02,10881.27618,453.009
LPTH,0.99,0.74,0.73,18.85196,25.814
PURE,0.99,0.31,0.31,22.97503,75.096
JAX,0.99,10.75,10.61,155.91395,14.695
ALJJ,0.99,1.54,1.52,57.79952,38.026
PW,0.99,9.66,9.53,17.8585,1.873
CSVI,0.99,40.99,40.46,1121.526,27.719
PEBK,0.99,27.89,27.53,163.33549,5.933
SLCT,0.99,10.85,10.71,206.29602,19.262
DSWL,0.99,2.68,2.65,42.10478,15.915
LEGH,0.99,12.85,12.69,313.62058,24.723
EDIT,0.99,24.8,24.48,1212.31194,49.515
JEF,0.99,19.56,19.31,5793.39191,300.003
PSTG,0.99,13.58,13.41,3393.28726,253.092
GNCA,0.99,3.17,3.13,81.8495,26.15
NSEC,0.99,11.4444,11.30,28.5551,2.527
WGO,0.99,36.51,36.05,1139.8509,31.618
TMRC,0.99,0.3899,0.39,17.97411,46.686
PDLB,0.99,13.9,13.73,250.18526,18.228
FMNB,0.99,14.29,14.11,390.41808,27.667
DAIO,0.99,4.01,3.96,32.71752,8.262
NSA,0.99,32.12,31.72,1880.90084,59.296
SBS,0.99,14.51,14.33,9794.6983,683.51
WTBA,0.99,21,20.74,339.7212,16.38
MTDR,0.99,15.35,15.16,1768.38368,116.647
FANG,0.99,96.39,95.20,15607.9448,163.949
BASI,0.99,2.025,2.00,20.582,10.291
ABT,0.99,86.62,85.56,151218.57288,1767.398
MAR,0.99,132.45,130.83,43090.404,329.359
SQNS,0.99,0.86,0.85,80.75007,95.056
CERS,0.99,5.22,5.16,723.5445,140.322
WDFC,0.99,185.43,183.17,2514.73243,13.729
CBAT,0.99,0.9465,0.94,29.68251,31.746
AWR,0.99,84.04,83.02,3057.79264,36.832
STM,0.99,17.73,17.52,15734.12876,898.323
AQ,0.99,13.15,12.99,467.29844,35.972
FNHC,0.99,13.28,13.12,168.57888,12.849
SLG,0.99,77.57,76.64,6462.5922,84.327
GTIM,0.99,1.89,1.87,23.41801,12.541
CCB,0.99,15.03,14.85,176.8338,11.908
IDXX,0.99,278.95,275.61,23727.40371,86.09
ARKR,0.99,19.42,19.19,67.14087,3.499
PSNL,0.99,18.49,18.27,543.55077,29.751
STOR,0.99,36.27,35.84,8278.0602,230.978
MACK,0.99,6.78,6.70,89.4383,13.35
JRSH,0.99,6.9459,6.86,77.7348,11.325
BOXL,0.99,2.6106,2.58,27.31704,10.588
CCRC,0.99,9.41,9.30,170.469,18.33
NNVC,0.99,0.2327,0.23,17.64905,76.735
TLRA,0.99,7.32,7.24,330.08608,45.622
PRTY,0.99,4.74,4.69,439.42965,93.79
CALM,0.99,39.96,39.50,1923.413,48.694
USFD,0.99,38.92,38.47,8432.24,219.171
PCSB,0.99,19.17,18.95,337.3858,17.804
LPSN,0.99,38.34,37.90,2483.6018,65.528
IINX,0.99,1.75,1.73,197.22519,114.003
NWFL,0.99,32.38,32.01,201.37491,6.291
IHC,0.99,38.31,37.87,565.708,14.937
CSWC,0.99,22.25,22.00,389.26672,17.697
HZN,0.99,3.29,3.25,82.1683,25.263
SAFE,0.99,29.21,28.88,895.03634,30.994
PARR,0.99,21.98,21.73,1076.7215,49.55
HFFG,0.99,20.23,20.00,443.34,22.167
CAAP,0.99,7.05,6.97,1115.35334,160.022
DAVE,0.99,4.42,4.37,40.52738,9.274
JFIN,0.99,12.52,12.38,668.75,54.025
OGI,0.99,5.66,5.60,873.99296,156.178
MITO,0.99,12.33,12.19,427.056,35.03
GTY,0.99,30.09,29.75,1223.37408,41.12
BSX,0.99,43.2,42.72,59501.95108,1392.973
HTBK,0.99,11.67,11.54,501.96692,43.499
SELB,0.99,1.8,1.78,79.72264,44.788
SGB,0.99,19.86,19.64,50.00344,2.546
NK,0.99,1.36,1.34,132.22316,98.308
KNOP,0.99,18.5,18.30,609.41616,33.309
WAYN,0.99,20.95,20.72,55.859,2.696
FCSMF,0.99,0.0182,0.02,6.73085,373.936
MRNA,0.99,13.33,13.18,4337.57107,329.011
CPHC,0.99,11.95,11.82,54.21375,4.587
GSX,0.99,13.36,13.21,3104.94368,234.975
BDX,0.99,254.35,251.57,67912.32778,269.954
PFGC,0.99,43.86,43.38,4563.048,105.185
UTL,0.99,58.63,57.99,865.26879,14.921
APTS,0.99,14.6,14.44,642.02397,44.457
GOGO,0.99,4.62,4.57,401.23686,87.798
CB,0.99,159.62,157.89,71959.98684,455.749
TAYD,0.99,11.01,10.89,37.89043,3.479
ESS,0.99,307.52,304.21,19994.81067,65.728
PANL,0.99,3.4401,3.40,151.3136,44.464
BRN,0.99,0.93,0.92,7.61484,8.277
SOLO,0.99,2.55,2.52,93.11665,36.913
ENZ,0.99,3.73,3.69,175.48533,47.557
AE,0.99,33.13,32.78,138.7722,4.234
PGTI,0.99,14.17,14.02,821.29201,58.586
HCI,0.99,41.02,40.59,331.98588,8.18
EQ,0.99,3.78,3.74,64.98624,17.376
AJRD,0.99,49.91,49.38,3885.196,78.676
CAH,0.99,44.35,43.88,13079.22,298.06
COLL,0.99,11.23,11.11,371.9089,33.471
AG,0.99,10.71,10.60,2155.67615,203.415
CUBE,0.99,35.26,34.89,6714.57504,192.45
PGR,0.99,80.6,79.76,46628.703,584.648
BRY,0.99,8.59,8.50,695.9715,81.879
AROW,0.99,32.83,32.49,471.6725,14.519
ZION,0.99,41.85,41.41,7454.27155,180
MSBI,0.99,25.97,25.70,626.1014,24.363
ORGS,0.99,4.7101,4.66,75.11583,16.115
VOXX,0.99,4.82,4.77,115.42923,24.199
NEWT,0.99,20.87,20.65,394.8111,19.115
CDZI,0.99,12.4,12.27,322.1748,26.252
CORR,0.99,46.44,45.96,589.61122,12.828
RVI,0.99,37.92,37.53,715.06465,19.052
TPRFF,0.99,4.2315,4.19,202.2932,48.3
PBCT,0.99,15.23,15.07,6005.1944,398.36
UPMKY,0.99,26.54,26.27,14010.42148,533.324
PESI,0.99,3.91,3.87,46.6518,12.054
SUI,0.99,141.23,139.79,12675.2466,90.671
SBLK,0.99,9.28,9.19,855.11,93.09
GTES,0.99,7.91,7.83,2271.49866,290.109
DXCM,0.99,155.46,153.89,14032.2,91.186
VSEC,0.99,29.65,29.35,321.9695,10.97
RGS,0.99,18,17.82,700.72441,39.327
CPKF,0.99,26.7,26.43,108.6566,4.111
FRTA,0.99,6.95,6.88,442.37024,64.298
CAMT,0.99,8.6,8.51,327.18336,38.431
HSIC,0.99,63.03,62.40,9250.82592,148.259
DOOR,0.99,50.75,50.24,1256.7546,25.014
CORVF,0.99,1.63,1.61,180.68224,111.963
JNCE,0.99,4.22,4.18,137.80206,32.982
ALCO,0.99,31.04,30.73,229.78577,7.477
CBRL,0.99,171.63,169.93,4085.79692,24.044
ARYA,0.99,10.12,10.02,180.04938,17.969
DVD,0.99,2.02,2.00,73.202,36.6
PFLT,0.99,11.665,11.55,447.8166,38.772
SIX,0.99,54.18,53.65,4525.4161,84.356
HBCP,0.99,36.45,36.09,341.89482,9.473
MOMO,0.99,31.59,31.28,6485.87672,207.349
LN,0.99,33.16,32.83,7844.48346,238.907
APEX,0.99,0.48,0.48,7.57913,15.946
PZG,0.99,0.96,0.95,25.20991,26.52
TATYY,0.99,34.92,34.58,4048.9574,117.095
CARV,0.99,3.02,2.99,11.06001,3.698
ANTE,0.99,1.01,1.00,12.5664,12.563
IRT,0.99,13.3,13.17,1188.00172,90.19
SBNY,0.99,120.84,119.68,6566.8416,54.87
PFNX,0.99,6.3,6.24,196.56,31.502
GLBXF,0.99,0.276,0.27,14.87265,54.408
POOL,0.99,199.27,197.36,7879.05704,39.922
APLS,0.99,28.32,28.05,1786.63632,63.696
MNDJD,0.99,0.9952,0.99,89.73409,91.036
O,0.99,72.68,71.99,22908.58581,318.228
HMNF,0.99,20.73,20.53,99.462,4.844
VQSLF,0.99,0.0959,0.09,17.975,189.23
TBBK,0.99,9.49,9.40,533.685,56.775
NRE,0.99,17.02,16.86,847.80449,50.289
AWK,0.99,120.55,119.41,21571.53591,180.653
VG,0.99,13.21,13.09,3167.85432,242.098
ICE,0.99,92.88,92.01,51561.51,560.415
NR,0.99,7.24,7.17,645.94241,90.062
FPI,0.99,6.41,6.35,189.5094,29.844
LASR,0.99,14.59,14.45,544.73256,37.688
TVTY,0.99,18.52,18.35,875.25462,47.702
LARK,0.99,22.8001,22.59,98.85092,4.376
MICR,0.99,2.3618,2.34,6.72048,2.872
EVER,0.99,20.05,19.87,506.49049,25.496
GAIA,0.99,7.13,7.06,129.8814,18.385
CNXM,0.99,14.22,14.09,898.02615,63.735
CPSS,0.99,3.56,3.53,78.13302,22.149
APYX,0.99,7.32,7.25,246.04866,33.921
SRE,0.99,137.68,136.44,37458.54,274.551
FFIN,0.99,31.64,31.35,4258.1616,135.809
WPC,0.99,88.07,87.27,14905.37853,170.787
WTM,0.99,1093.91,1084.06,3452.72102,3.185
AAU,0.99,0.782,0.78,86.58843,111.727
CIVB,0.99,21.33,21.14,330.4893,15.633
AZZUF,0.99,0.1348,0.13,24.71073,184.956
GOOD,0.99,22.135,21.94,680.21947,31.004
BDR,0.99,0.92,0.91,8.74968,9.595
CPA,0.99,111.38,110.41,4666.2768,42.264
JCAP,0.99,19.68,19.51,433.8068,22.237
FNRN,0.99,11.4,11.30,138.9335,12.294
CYDVF,0.99,0.136,0.13,10.08093,74.774
PFIE,0.99,1.21,1.20,56.7696,47.327
CWK,0.99,17.54,17.39,3773.63,217.02
BLUE,0.99,124.98,123.90,6847.83015,55.269
LTC,0.99,47.46,47.05,1869.71995,39.739
TCO,0.99,41.7,41.34,2530.38006,61.209
ICBK,0.99,17.89,17.74,119.64758,6.746
CRT,0.99,9.885,9.80,58.8,6
PTCT,0.99,47.09,46.69,2752.11909,58.95
GLGI,0.99,0.595,0.59,16.73015,28.361
GFI,0.99,6.11,6.06,5019.56663,828.633
LIVN,0.99,82.22,81.52,3944.83432,48.392
FUSB,0.99,9.2184,9.14,57.63684,6.306
HUM,0.99,297.78,295.25,39885.02725,135.089
NICE,0.99,153.68,152.38,9490.9605,62.285
LRN,0.99,28.95,28.71,1155.2904,40.245
QTNT,0.99,10.58,10.49,695.245,66.269
ENPH,0.99,31.84,31.57,3851.181,121.975
CNSL,0.99,4.8,4.76,343.08176,72.076
ATGN,0.99,1.2,1.19,27.23553,22.887
GBCI,0.99,39.63,39.30,3404.8341,86.637
OR,0.99,12.7,12.59,1800.666,142.972
CZWI,0.99,10.8,10.71,120.802,11.279
OFS,0.99,11.35,11.26,150.44486,13.366
NDLS,0.99,6.55,6.50,286.53444,44.111
SKX,0.99,33.94,33.66,5276.67294,156.766
CARB,0.99,15.99,15.86,550.12748,34.69
ENBL,0.99,12.26,12.16,5290.46336,435.102
APD,0.99,229.87,227.98,50236.5329,220.355
BTU,0.99,18.13,17.98,1924,107
SMRT,0.99,0.7663,0.76,36.5294,48.063
STOK,0.99,29.32,29.08,880.27878,30.27
FCCY,0.99,17.19,17.05,147.46545,8.649
BGSF,0.99,18.67,18.52,189.53368,10.235
VBLT,0.99,1.23,1.22,43.77482,35.881
SCYX,0.99,1,0.99,55.2552,55.708
NNA,0.99,6.17,6.12,84.01536,13.728
CBSH,0.99,58,57.53,6313.98222,109.747
LOAN,0.99,6.2,6.15,59.3967,9.658
JAKK,0.99,0.72,0.71,21.0432,29.464
EVRG,0.99,62.43,61.93,14582.40938,235.467
DHXM,0.99,1.29,1.28,172.6784,134.938
AIHS,0.99,1.08,1.07,29.70703,27.727
GSAT,0.99,0.4185,0.42,602.06865,1450.115
COO,0.99,336.87,334.22,16539.93,49.488
AGIO,0.99,43.01,42.67,2507.1284,58.753
CBPX,0.99,24.23,24.04,833.89952,34.688
USCR,0.99,45.04,44.69,742.518,16.616
HQY,0.99,72.66,72.09,5008.0323,69.468
TFSL,0.99,17.83,17.69,4953.00541,279.981
MLNLF,0.99,1.14,1.13,94.1469,83.235
AWX,0.99,2.48,2.46,9.53496,3.875
FWP,0.99,0.93,0.92,43.86714,47.537
RILY,0.99,20.72,20.56,553.4752,26.92
ZTS,0.99,125.07,124.11,59302.36431,477.821
CODX,0.99,1.29,1.28,21.78218,17.016
REPH,0.99,10.93,10.85,240.58571,22.181
TMP,0.99,77.58,76.99,1167.26134,15.161
RHP,0.99,79.16,78.56,4041.3825,51.443
TPL,0.99,680.15,675.00,5235.3,7.756
SAVA,0.99,1.33,1.32,22.72908,17.219
SBT,0.99,9.31,9.24,469.82628,50.847
RAIL,0.99,4.79,4.75,60.08769,12.639
CTT,0.99,9.96,9.89,484.44921,49.006
FG,0.99,7.32,7.27,1610.43753,221.661
AGCO,0.99,73.67,73.12,5614.51788,76.785
ISYRF,0.99,1.034,1.03,20.54721,20.021
NTRA,0.99,32.33,32.09,2233.41615,69.601
FNSR,0.99,22.67,22.50,2696.4371,119.836
AZUL,0.99,41.93,41.62,4538.73202,109.058
FISI,0.99,29.53,29.31,468.81345,15.995
IHG,0.99,65.55,65.06,11843.53734,182.033
INCY,0.99,81.79,81.18,17460.01116,215.067
NGHC,0.99,24.42,24.24,2744.35584,113.216
OOMA,0.99,11.76,11.67,241.638,20.7
GSK,0.99,40.47,40.17,100197,2494.212
WPM,0.99,27.74,27.54,12270.23564,445.604
CTL,0.99,10.78,10.70,11667.7615,1090.313
GM,0.99,39.61,39.32,56140,1427.729
NGL,0.99,13.75,13.65,1719.44955,125.967
LOPE,0.99,125.82,124.91,6038.07288,48.341
FMX,0.99,89.78,89.13,19262.59734,216.118
ARESF,0.99,9.23,9.16,1291.91957,140.99
ACRE,0.99,15.2,15.09,435.63321,28.869
MMMB,0.99,0.48,0.48,15.18528,31.866
SPRO,0.99,9.23,9.16,163.12235,17.801
MVBF,0.99,16.7,16.58,194.20154,11.713
UGEIF,0.99,0.0415,0.04,3.20467,77.777
ESEA,0.99,0.55,0.55,6.83499,12.516
ESGR,0.99,176.905,175.65,3775.98875,21.497
CMLS,0.99,14.59,14.49,245.16278,16.923
LITB,0.99,1.45,1.44,96.80832,67.238
CWCO,0.99,14.12,14.02,210.5903,15.02
AGYS,0.99,27.62,27.43,649.3056,23.675
DMLP,0.99,18.49,18.36,636.7248,34.68
IONS,0.99,68.44,67.96,9536.3192,140.323
CWT,0.99,54.19,53.81,2590.4134,48.14
EAT,0.99,39.94,39.66,1487.25,37.5
SMED,0.99,3.59,3.57,57.5498,16.143
HIHO,0.99,2.02,2.01,7.62665,3.802
RDWR,0.99,25.88,25.70,1206.87588,46.959
SBAC,0.99,254.28,252.52,28562.0104,113.106
AMD,0.99,34.17,33.93,36837.12,1085.546
JACK,0.99,87.6,87.00,2245.65237,25.813
VTSI,0.99,2.49,2.47,19.14003,7.74
BCML,0.99,21.88,21.73,261.88996,12.052
FRPT,0.99,39.69,39.42,1422.0765,36.076
BFIN,0.99,12.08,12.00,186.17914,15.518
AGFS,0.99,1.5,1.49,76.65364,51.453
LTBR,0.99,0.6885,0.68,24.94281,36.475
MRK,0.99,85.52,84.94,217484.54035,2560.375
SRRA,0.99,0.4887,0.49,36.25356,74.688
MORN,0.99,154.81,153.77,6575.66651,42.763
PNTR,0.99,15.31,15.21,124.53154,8.189
IDSY,0.99,5.96,5.92,107.82688,18.214
FHN,0.99,15.97,15.86,5002.77278,315.361
MTRX,0.99,18.67,18.55,497.19565,26.807
AGHC,0.99,0.153,0.15,1.50708,9.915
SBRA,0.99,21.46,21.32,4040.4598,189.515
ROYL,0.99,0.215,0.21,10.83837,50.742
GLOP,0.99,18.88,18.76,957.8613,51.067
MOFG,0.99,29.71,29.52,478.68171,16.217
WTI,0.99,4.63,4.60,647.174,140.69
OPBK,0.99,9.15,9.09,144.17991,15.86
OESX,0.99,3.1,3.08,92.77268,30.121
ODC,0.99,32.69,32.48,246.91296,7.602
SPRT,0.99,1.56,1.55,29.38025,18.955
HSGX,0.99,0.1877,0.19,17.6429,94.6
INTG,0.99,29.81,29.62,68.92574,2.327
WEC,0.99,89.87,89.30,28168.4348,315.436
INIS,0.99,0.054,0.05,22.5133,419.574
CMCSA,0.99,42.93,42.66,193889.0601,4544.985
SYNL,0.99,15.95,15.85,142.09525,8.965
WETF,0.99,5.38,5.35,829.24842,155.099
LRCX,0.99,195.31,194.10,29100.36084,149.927
CEMI,0.99,5.9,5.86,102.996,17.566
FRC,0.99,94.38,93.80,15714.36544,167.539
LEAF,0.99,4.83,4.80,125.1397,26.07
ZS,0.99,85.17,84.65,10636.76544,125.662
IPI,0.99,3.25,3.23,426.261,131.967
PZZA,0.99,45.98,45.70,1452.55594,31.786
CVS,0.99,59.29,58.93,76633.92,1300.497
AMT,0.99,222.23,220.87,97776.15372,442.685
CONE,0.99,65.42,65.02,7359.83528,113.192
WABC,0.99,61.84,61.46,1658.43262,26.982
MNTA,0.99,11.79,11.72,1156.69043,98.707
IRTC,0.99,77.94,77.47,1925.24893,24.852
NEE,0.99,216.48,215.17,103090.38,479.103
TRV,0.99,149.07,148.17,38581.666,260.386
GILD,0.99,65.24,64.85,82126.94,1266.455
SMTS,0.99,1.51,1.50,244.49112,162.893
PUBGY,0.99,11.81,11.74,10866.44183,925.664
SHBI,0.99,15.665,15.57,198.9846,12.779
WM,0.99,119.06,118.35,50207.586,424.232
RPT,0.99,12.3,12.23,982.53496,80.36
SND,0.99,2.28,2.27,93.6468,41.319
CNBX,0.99,0.2717,0.27,36.31738,134.459
PGC,0.99,27.2,27.04,526.09024,19.456
SBCF,0.99,25.51,25.36,1305.05096,51.461
MWXRF,0.99,0.0684,0.07,21.1497,311.025
TYL,0.99,255.54,254.05,9801.87371,38.583
TRI,0.99,67.78,67.38,33770.23104,501.157
GOLF,0.99,24.99,24.84,1872.41751,75.366
TX,0.99,20.29,20.17,4043.9448,200.474
PSA,0.99,257.05,255.56,44619.52,174.598
CVE,0.99,8.54,8.49,10432.53747,1228.711
WST,0.99,143.92,143.09,10552.74441,73.749
DUK,0.99,89.75,89.24,65017.68,728.601
CBNK,0.99,12.25,12.18,167.09742,13.719
KBAL,0.99,17.05,16.95,622.63552,36.728
AEHR,0.99,1.3678,1.36,30.68432,22.562
EGLE,0.99,4.1,4.08,298.23464,73.156
MAA,0.99,123.78,123.08,14036.41244,114.044
LOMLF,0.99,0.53,0.53,54.33666,103.105
UURAF,0.99,0.1515,0.15,42.8026,284.13
IFS,0.99,39.95,39.72,4592.61108,115.611
CDW,0.99,114.58,113.93,16488.01,144.715
TCFC,0.99,31.95,31.77,177.34014,5.582
MFNC,0.99,14.2,14.12,151.66292,10.741
PVG,0.99,12.92,12.85,2371.71165,184.595
KFS,0.99,2.8257,2.81,61.22428,21.788
AIV,0.99,50.8,50.52,7518.46527,148.828
ATEN,0.99,7.14,7.10,543.57309,76.555
WIFI,0.99,12.9,12.83,565.89281,44.111
CUB,0.99,70.81,70.42,2195.55476,31.178
YJ,0.99,9.94,9.89,2156.62,218.162
FLIC,0.99,21.87,21.75,536.37675,24.661
HSKA,0.99,74.47,74.06,577.46138,7.797
HSY,0.99,155.48,154.63,32406.99163,209.579
DEST,0.99,0.68,0.68,9.69805,14.34
BCH,0.99,29.45,29.29,14793.93965,505.085
FRT,0.99,132.19,131.47,9854.426,74.954
SCVL,0.99,23.69,23.56,346.14352,14.691
WTRE,0.99,23.56,23.43,533.48892,22.766
HCA,0.99,127.5,126.82,43242.88254,340.983
ALLO,0.99,31.17,31.00,3774.62862,121.749
CVCY,0.99,20.32,20.21,271.80335,13.448
HBI,0.99,15.07,14.99,5419.34969,361.543
CVSI,0.99,3.12,3.10,307.95648,99.234
ACU,0.99,19.85,19.74,66.18225,3.352
EQR,0.99,81.27,80.84,29978.62476,370.853
UAN,0.99,3.76,3.74,423.67842,113.283
EXFO,0.99,3.84,3.82,211.60126,55.398
KNSL,0.99,93.5,93.00,1987.60292,21.371
EQIX,0.99,552.16,549.24,46585.98756,84.819
BK,0.99,45.81,45.57,42957.10734,942.662
HST,0.99,16.64,16.55,12264,740.894
AEP,0.99,89.97,89.50,44196.27858,493.795
SSFN,0.99,15.49,15.41,134.28274,8.714
CTWS,0.99,69.8,69.44,844.53063,12.162
VMC,0.99,140,139.28,18425.06754,132.287
BVXV,0.99,5.9405,5.91,38.62185,6.535
TREVF,0.99,0.1499,0.15,121.41301,814.132
ACBI,0.99,17.6,17.51,407.86043,23.293
PRAH,0.99,97.785,97.29,6407.28792,65.861
ENTA,0.99,73.27,72.90,1433.8701,19.67
VICL,0.99,0.8098,0.81,18.40299,22.841
SNAVF,0.99,0.0275,0.03,14.12758,516.33
TPX,1.00,79.57,79.17,4339.62099,54.812
UBCP,1.00,11.2661,11.21,66.10537,5.897
BFS,1.00,54.24,53.97,1241.33555,23
NESR,1.00,8.07,8.03,697.78291,86.897
ARE,1.00,145.32,144.60,16400.3497,113.418
CDE,1.00,5.61,5.58,1240.19181,222.163
CBDS,1.00,1.7,1.69,36.3936,21.514
CIO,1.00,12.92,12.86,509.71896,39.647
TREC,1.00,9.19,9.14,225.758,24.687
EPM,1.00,6.13,6.10,202.4407,33.187
CPF,1.00,28.45,28.31,808.4744,28.557
ASMB,1.00,13.98,13.91,357.7,25.712
TURN,1.00,1.9499,1.94,60.38913,31.122
BPRN,1.00,27.25,27.12,182.8824,6.744
ARREF,1.00,0.4403,0.44,78.94367,180.169
AEE,1.00,76.69,76.32,18759.456,245.803
CLVS,1.00,5.68,5.65,308.95502,54.657
WSR,1.00,12.47,12.41,499.30428,40.234
VRME,1.00,0.095,0.09,9.84609,104.144
WSFS,1.00,41.69,41.49,2198.4816,52.988
LINC,1.00,1.74,1.73,43.7001,25.235
ESSA,1.00,14.74,14.67,167.37003,11.409
KTHN,1.00,17.45,17.37,59.118,3.404
DLR,1.00,120.3,119.73,24944.8355,208.343
BCTF,1.00,15.6742,15.60,52.3536,3.356
UHAL,1.00,359.73,358.04,7020.44832,19.608
DLHC,1.00,4.27,4.25,51.153,12.036
CMG,1.00,817.9,814.08,22568.7222,27.723
RCUS,1.00,7.28,7.25,332.2311,45.849
PBH,1.00,33.97,33.81,1698.80834,50.241
WBS,1.00,48.03,47.81,4406.21523,92.16
GVP,1.00,2.2,2.19,43.79124,19.996
ASPS,1.00,19,18.91,302.60678,15.999
ECL,1.00,205.97,205.04,59000.67008,287.752
TTC,1.00,73.46,73.13,7783.51842,106.435
MOXC,1.00,1.5748,1.57,21.12046,13.472
FCBC,1.00,33.12,32.97,515.57634,15.637
HES,1.00,60.62,60.35,18375.42835,304.481
VST,1.00,22.13,22.03,10832.79925,491.68
ABUS,1.00,1.64,1.63,92.8224,56.85
SAFT,1.00,95.42,95.00,1461.48,15.384
PRPH,1.00,2.0284,2.02,23.34514,11.56
PBIO,1.00,2.3,2.29,4.2432,1.853
PLG,1.00,1.3459,1.34,45.21428,33.742
DPZ,1.00,247.83,246.74,10173.996,41.233
ETR,1.00,107.43,106.96,21267.34944,198.83
FC,1.00,36.66,36.50,510.06186,13.974
SYK,1.00,218.74,217.79,81476.11016,374.104
LMRK,1.00,16.31,16.24,411.48912,25.339
CSGP,1.00,632.94,630.21,23033.56608,36.549
EQBK,1.00,25.52,25.41,395.48124,15.564
AUO,1.00,2.32,2.31,2223.20175,962.425
FTS,1.00,40.78,40.61,17697.838,435.847
LANC,1.00,154.42,153.76,4229.1688,27.505
CARO,1.00,34.8,34.65,773.2895,22.315
ONCE,1.00,100.75,100.33,3902.2452,38.895
AXP,1.00,126.17,125.64,104241.28,829.674
CRMT,1.00,91.91,91.52,611.75268,6.684
WELL,1.00,88.28,87.91,35625.87914,405.247
CP,1.00,233.1,232.13,32282.328,139.068
NMM,1.00,15.48,15.42,172.86514,11.213
CMS,1.00,60.32,60.07,17047.866,283.787
MOGU,1.00,2.45,2.44,261.03364,106.981
TLF,1.00,5.5335,5.51,49.23527,8.934
HSAC,1.00,9.84,9.80,122.5,12.5
OTIC,1.00,2.48,2.47,75.94756,30.748
IFF,1.00,122.54,122.05,13031.7667,106.775
NRT,1.00,7.5,7.47,68.65677,9.191
MR,1.00,3.36,3.35,119.19458,35.617
DYSL,1.00,1.1,1.10,19.2401,17.561
UBNK,1.00,13.22,13.17,673.55255,51.153
AMRB,1.00,12.6,12.55,74.08265,5.903
SBBP,1.00,2.54,2.53,137.09058,54.186
BOTJ,1.00,14.9588,14.90,65.2322,4.378
BFC,1.00,55.71,55.49,364.968,6.577
STKS,1.00,3.09,3.08,88.11874,28.629
ISNS,1.00,4.96,4.94,26.2053,5.304
MELI,1.00,690.78,688.10,33936.4039,49.319
TIMGF,1.00,0.0524,0.05,4.2531,81.48
ATLO,1.00,26.09,25.99,239.93968,9.232
ELMD,1.00,5.22,5.20,43.7216,8.408
PUB,1.00,28.75,28.64,538.97616,18.819
BBSI,1.00,89.07,88.73,662.8245,7.47
BFAM,1.00,154.68,154.09,8969.4135,58.208
AXNVF,1.00,0.475,0.47,116.05022,245.239
NANO,1.00,28.25,28.14,698.7568,24.828
FMCIU,1.00,10.69,10.65,273.22832,25.655
DORM,1.00,72.66,72.39,2373.3444,32.786
UNH,1.00,248.63,247.70,234743.76,947.681
WDDD,1.00,0.27,0.27,15.28324,56.815
TBIO,1.00,8.13,8.10,413.181,51.01
NUVA,1.00,66.06,65.82,3425.58936,52.046
TDC,1.00,35.56,35.43,4042.563,114.1
SMHI,1.00,12.51,12.46,271.28673,21.765
TIVO,1.00,7.56,7.53,947.43092,125.779
NOC,1.00,370.54,369.20,62467.14176,169.198
MRLN,1.00,23.41,23.33,285.52664,12.241
BA,1.00,337.55,336.35,189265.15405,562.71
ARGO,1.00,67.88,67.64,2319.24948,34.289
MMP,1.00,64.76,64.53,14738.84559,228.403
FRAF,1.00,36.35,36.22,157.16393,4.339
MYFW,1.00,14.12,14.07,112.33488,7.984
CY,1.00,22.67,22.59,8342.77986,369.315
OAS,1.00,2.85,2.84,914.17896,321.894
NATH,1.00,70.01,69.77,294.9085,4.227
BPFH,1.00,10.35,10.31,865.38542,83.902
OBAS,1.00,13,12.96,67.574,5.216
ECHO,1.00,20.36,20.29,553.54509,27.282
XAN,1.00,11.4,11.36,362.0432,31.868
CSL,1.00,140.91,140.43,7949.0138,56.606
GO,1.00,37.95,37.82,3241.32528,85.704
ISTR,1.00,23.38,23.30,231.5554,9.938
FLNG,1.00,10.937,10.90,589.7336,54.104
MFG,1.00,2.98,2.97,37662.5403,12680.99
BAX,1.00,85.97,85.68,43746.17706,510.556
LIVE,1.00,6.05,6.03,11.96358,1.984
CRAY,1.00,34.6,34.49,1428.2279,41.414
HPT,1.00,24.32,24.24,3986.07408,164.44
CUO,1.00,15.3,15.25,26.15375,1.715
VSBN,1.00,20.12,20.05,36.83972,1.837
ZEAL,1.00,22.07,22.00,698.46372,31.751
ALSK,1.00,1.79,1.78,95.9619,53.785
ULH,1.00,20.43,20.36,587.26496,28.839
ENFC,1.00,29.93,29.83,206.53215,6.923
PAHC,1.00,30.8,30.70,1241.9378,40.454
RUBI,1.00,9.64,9.61,509.17624,52.991
SCI,1.00,47.1,46.95,8561.44548,182.361
IPHI,1.00,64.59,64.38,2923.95567,45.416
AKR,1.00,27.95,27.86,2352.86058,84.453
CRBO,1.00,5,4.98,38.955,7.816
CHCO,1.00,75.16,74.92,1228.46324,16.397
BRX,1.00,19.16,19.10,5688.8586,297.846
PPIH,1.00,8.445,8.42,66.61692,7.913
